Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10u,
"C11, C13, C15, C25, C26, C3, C5",0402,7,100n,
C12,0402,1,10p,
C17,0402,1,470n,
"C18, L1",0402,2,47n,
C19,0402,1,47p,
C20,0402,1,1u,
C22,0402,1,100p,
"C4, C6, C7, C8",0402,4,4.7u,
"D1, D2",0805,2,LED,
FB1,0603,1,600@100MHz,
FL1,Balun_Johanson_0900FM15K0039,1,0900FM15K0039,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
J4,SMA_Amphenol_132289_EdgeMount,1,SMA,
J5,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,u.FL,
L2,1008,1,15u,
"R1, R2",0402,2,5.1k,
"R10, R5, R9",0402,3,1k,
"R13, R3, R7, R8",0402,4,10k,
R14,0402,1,220,
R15,0402,1,47,
R4,0402,1,39k,
R6,0402,1,1.2k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,EN,
SW2,SW_Push_SPST_NO_Alps_SKRK,1,BOOT,
SW3,PinHeader_1x02_P1.00mm_Vertical,1,SW_SPDT,
U1,SOT-223-3_TabPin2,1,AP7361C-33E,
U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TVS1400DRV,
U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
U4,XCVR_ESP32-C6-MINI-1U-H4,1,ESP32-C6-MINI-1,
U5,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262IMLTRT,
"U6, U8",SOT-363_SC-70-6,2,4259-63,
Y1,OSC_TX32-33015S-32.000-X-R,1,TX32-33015S-32.000-X-R,
