Designator,Mid X,Mid Y,Rotation,Layer
C1,18.999999,-15.710197,270.0,top
C11,6.4,-27.83,270.0,top
C12,8.27,-25.85,0.0,top
C13,9.35,-23.95,180.0,top
C15,13.865,-32.1,270.0,top
C17,11.3,-29.2,0.0,top
C18,9.8,-22.470001,90.0,top
C19,8.7,-22.47,90.0,top
C2,19.0,-17.6,90.0,top
C20,14.345,-30.685,0.0,top
C22,12.35,-14.0925,270.0,top
C25,10.65,-15.43,90.0,top
C26,14.63,-11.91,0.0,top
C3,35.618721,-29.52,90.0,top
C4,31.85,-12.75,180.0,top
C5,35.618721,-27.52,270.0,top
C6,32.1,-7.5,0.0,top
C7,30.25,-10.885001,270.0,top
C8,37.835,-7.27,90.0,top
D1,30.0,-4.3125,270.0,top
D2,34.0,-4.1,270.0,top
FB1,8.4625,-27.35,0.0,top
FL1,12.1,-20.5,90.0,top
H1,3.0,-3.0,0.0,top
H2,3.0,-37.0,0.0,top
H3,43.0,-3.0,0.0,top
H4,43.0,-37.0,0.0,top
J1,42.4,-18.0,90.0,top
J2,39.105,-10.155001,270.0,top
J4,13.0,-4.5,90.0,top
J5,4.25,-10.25,180.0,top
L1,11.25,-22.95,0.0,top
L2,11.275,-31.4,0.0,top
R1,36.545001,-20.37,270.0,top
R10,31.6,-5.76,270.0,top
R13,20.6,-23.6,0.0,top
R14,6.4,-25.35,90.0,top
R15,14.750001,-29.6,0.0,top
R2,36.345,-17.42,180.0,top
R3,34.5,-30.51,90.0,top
R4,34.05,-13.8,180.0,top
R5,29.759999,-12.75,0.0,top
R6,34.5,-12.75,0.0,top
R7,35.618721,-25.49,270.0,top
R8,36.51,-12.74,0.0,top
R9,33.490001,-6.387501,0.0,top
SW1,39.25,-30.0,180.0,top
SW2,39.25,-26.0,180.0,top
SW3,28.250001,-10.405001,90.0,top
U1,24.0,-16.930197,180.0,top
U2,36.294999,-14.719999,270.0,top
U3,33.0675,-10.155001,180.0,top
U4,26.0,-30.026807,180.0,top
U5,12.6,-26.1,90.0,top
U6,12.35,-11.0725,90.0,top
U8,12.35,-16.7475,270.0,top
Y1,4.25,-26.1,270.0,top
